id_circuns,id_diputado,diputado_partido,x,y,r,theta,long.ajuste,lat.ajuste,long,lat
circuns_1,circuns_1_1,PAN,-107.24236,28.175813,1.108819202,9,1.095167797,0.173457539,-106.1471922,28.34927054
circuns_1,circuns_1_2,PAN,-107.24236,28.175813,0.887055361,18,0.843639782,0.274115182,-106.3987202,28.44992818
circuns_1,circuns_1_3,PAN,-107.24236,28.175813,0.665291521,27,0.592779086,0.30203603,-106.6495809,28.47784903
circuns_1,circuns_1_4,PAN,-107.24236,28.175813,0.443527681,36,0.358821431,0.26069903,-106.8835386,28.43651203
circuns_1,circuns_1_5,PAN,-107.24236,28.175813,1.108819202,45,0.784053577,0.784053577,-106.4583064,28.95986658
circuns_1,circuns_1_6,PAN,-107.24236,28.175813,0.887055361,54,0.521398059,0.717642862,-106.7209619,28.89345586
circuns_1,circuns_1_7,PAN,-107.24236,28.175813,0.665291521,63,0.30203603,0.592779086,-106.940324,28.76859209
circuns_1,circuns_1_8,PAN,-107.24236,28.175813,0.443527681,72,0.137057591,0.421819891,-107.1053024,28.59763289
circuns_1,circuns_1_9,PRI,-107.24236,28.175813,1.108819202,81,0.173457539,1.095167797,-107.0689025,29.2709808
circuns_1,circuns_1_10,PRI,-107.24236,28.175813,0.887055361,90,5.43E-17,0.887055361,-107.24236,29.06286836
circuns_1,circuns_1_11,PRI,-107.24236,28.175813,0.665291521,99,-0.104074523,0.657100678,-107.3464345,28.83291368
circuns_1,circuns_1_12,PRI,-107.24236,28.175813,0.443527681,108,-0.137057591,0.421819891,-107.3794176,28.59763289
circuns_1,circuns_1_13,PRI,-107.24236,28.175813,1.108819202,117,-0.503393383,0.987965143,-107.7457534,29.16377814
circuns_1,circuns_1_14,PT,-107.24236,28.175813,0.887055361,126,-0.521398059,0.717642862,-107.7637581,28.89345586
circuns_1,circuns_1_15,PT,-107.24236,28.175813,0.665291521,135,-0.470432146,0.470432146,-107.7127921,28.64624515
circuns_1,circuns_1_16,PVEM,-107.24236,28.175813,0.443527681,144,-0.358821431,0.26069903,-107.6011814,28.43651203
circuns_1,circuns_1_17,PVEM,-107.24236,28.175813,1.108819202,153,-0.987965143,0.503393383,-108.2303251,28.67920638
circuns_1,circuns_1_18,PVEM,-107.24236,28.175813,0.887055361,162,-0.843639782,0.274115182,-108.0859998,28.44992818
circuns_1,circuns_1_19,MC,-107.24236,28.175813,0.665291521,171,-0.657100678,0.104074523,-107.8994607,28.27988752
circuns_1,circuns_1_20,MC,-107.24236,28.175813,0.443527681,180,-0.443527681,5.43E-17,-107.6858877,28.175813
circuns_1,circuns_1_21,MC,-107.24236,28.175813,1.108819202,189,-1.095167797,-0.173457539,-108.3375278,28.00235546
circuns_1,circuns_1_22,MC,-107.24236,28.175813,0.887055361,198,-0.843639782,-0.274115182,-108.0859998,27.90169782
circuns_1,circuns_1_23,MC,-107.24236,28.175813,0.665291521,207,-0.592779086,-0.30203603,-107.8351391,27.87377697
circuns_1,circuns_1_24,MC,-107.24236,28.175813,0.443527681,216,-0.358821431,-0.26069903,-107.6011814,27.91511397
circuns_1,circuns_1_25,MC,-107.24236,28.175813,1.108819202,225,-0.784053577,-0.784053577,-108.0264136,27.39175942
circuns_1,circuns_1_26,MC,-107.24236,28.175813,0.887055361,234,-0.521398059,-0.717642862,-107.7637581,27.45817014
circuns_1,circuns_1_27,MORENA,-107.24236,28.175813,0.665291521,243,-0.30203603,-0.592779086,-107.544396,27.58303391
circuns_1,circuns_1_28,MORENA,-107.24236,28.175813,0.443527681,252,-0.137057591,-0.421819891,-107.3794176,27.75399311
circuns_1,circuns_1_29,MORENA,-107.24236,28.175813,1.108819202,261,-0.173457539,-1.095167797,-107.4158175,27.0806452
circuns_1,circuns_1_30,MORENA,-107.24236,28.175813,0.887055361,270,-1.63E-16,-0.887055361,-107.24236,27.28875764
circuns_1,circuns_1_31,MORENA,-107.24236,28.175813,0.665291521,279,0.104074523,-0.657100678,-107.1382855,27.51871232
circuns_1,circuns_1_32,MORENA,-107.24236,28.175813,0.443527681,288,0.137057591,-0.421819891,-107.1053024,27.75399311
circuns_1,circuns_1_33,MORENA,-107.24236,28.175813,1.108819202,297,0.503393383,-0.987965143,-106.7389666,27.18784786
circuns_1,circuns_1_34,MORENA,-107.24236,28.175813,0.887055361,306,0.521398059,-0.717642862,-106.7209619,27.45817014
circuns_1,circuns_1_35,MORENA,-107.24236,28.175813,0.665291521,315,0.470432146,-0.470432146,-106.7719279,27.70538085
